datetime,open,high,low,close,volume
2023-10-05 13:45:00,174.8513,175.03,174.73,174.89,1611166
2023-10-05 13:30:00,174.14999,174.91499,173.96001,174.8501,2180107
2023-10-05 13:15:00,173.935,174.16,173.85001,174.1582,966306
2023-10-05 13:00:00,173.9446,174.02,173.645,173.9359,946478
2023-10-05 12:45:00,173.785,173.95,173.62,173.94701,697144
2023-10-05 12:30:00,173.9601,174.03,173.66,173.78,1682102
2023-10-05 12:15:00,173.92999,174.03,173.75999,173.97,1232365
2023-10-05 12:00:00,173.485,173.9796,173.36,173.925,1199216
2023-10-05 11:45:00,173.31,173.83,173.265,173.4801,1283470
2023-10-05 11:30:00,173.605,173.645,173.30051,173.31,1546356
2023-10-05 11:15:00,173.3197,173.64999,173.14999,173.60001,1679645
2023-10-05 11:00:00,173.0,173.375,172.83,173.315,1418107
2023-10-05 10:45:00,172.99001,173.11,172.67999,173.0,1540133
2023-10-05 10:30:00,173.69,173.7562,172.78999,172.98,1959182
2023-10-05 10:15:00,173.3999,173.83,173.21001,173.69,1628358
2023-10-05 10:00:00,173.87,173.875,173.07001,173.39999,2086168
2023-10-05 09:45:00,173.82001,174.0901,173.45,173.8723,2056245
2023-10-05 09:30:00,173.78999,174.408,173.56,173.81,3807863
2023-10-04 15:45:00,173.94,173.98,173.37,173.64,6016376
2023-10-04 15:30:00,173.77,174.21001,173.7151,173.95,1799792
2023-10-04 15:15:00,173.42,173.815,173.395,173.7699,2051092
2023-10-04 15:00:00,173.09,173.50999,173.03,173.425,1491551
2023-10-04 14:45:00,173.0,173.13989,172.85001,173.07919,749455
2023-10-04 14:30:00,172.74001,173.03,172.61,173.0,827357
2023-10-04 14:15:00,172.63,172.82449,172.35001,172.74001,1001263
2023-10-04 14:00:00,172.515,172.75,172.37,172.6293,956112
2023-10-04 13:45:00,172.84,172.92,172.46001,172.52,943907
2023-10-04 13:30:00,172.67999,172.8399,172.48,172.832,933993
2023-10-04 13:15:00,173.0,173.12,172.645,172.67999,881878
2023-10-04 13:00:00,173.10001,173.13,172.87,173.0,754657
2023-10-04 12:45:00,173.03999,173.2,172.99001,173.11,695653
2023-10-04 12:30:00,173.17,173.25999,172.97,173.03999,825884
2023-10-04 12:15:00,172.97,173.28999,172.89999,173.17,904169
2023-10-04 12:00:00,173.14,173.2299,172.81,172.96001,1181849
2023-10-04 11:45:00,172.72,173.14999,172.62,173.14,1239365
2023-10-04 11:30:00,172.86,172.89999,172.5,172.72,1126944
2023-10-04 11:15:00,172.50999,173.13499,172.48,172.86,1545167
2023-10-04 11:00:00,172.41,172.59,172.13,172.50999,1916933
2023-10-04 10:45:00,173.16,173.33,172.3,172.41499,1971026
2023-10-04 10:30:00,172.395,173.49001,172.395,173.16,3008526
2023-10-04 10:15:00,172.64999,172.74001,172.2,172.39,2115557
2023-10-04 10:00:00,172.48,172.7,171.87,172.64,2924516
2023-10-04 09:45:00,172.17999,172.69,172.11211,172.49001,2624782
2023-10-04 09:30:00,171.09,172.46001,170.97,172.17999,5409910
2023-10-03 15:45:00,172.08501,172.52,172.02,172.46001,4447750
2023-10-03 15:30:00,171.855,172.246,171.78,172.08,1804387
2023-10-03 15:15:00,171.83,172.2,171.78999,171.86,1374573
2023-10-03 15:00:00,172.25999,172.3,171.80499,171.83009,1363936
2023-10-03 14:45:00,172.21001,172.39999,172.08,172.27,1262226
2023-10-03 14:30:00,171.85001,172.23,171.815,172.21899,820769
2023-10-03 14:15:00,171.69501,172.02,171.56,171.85001,1009673
2023-10-03 14:00:00,171.97,172.13,171.55099,171.7,1064864
2023-10-03 13:45:00,171.965,172.05499,171.77,171.97501,822972
2023-10-03 13:30:00,172.00999,172.0948,171.75,171.96001,876696
